id;libelle
170;Kerrouchen
171;Khémis Sahel
172;Khémisset
173;Khénifra
174;Khénichet
175;Khouribga
176;Ksar El Kébir
177;Larache
178;Laâounate
179;Laakarta
180;Laattaouia
181;Lakhsas
182;Lahraouyine
183;Lalla Mimouna
184;Lalla Takarkoust
185;Lakouablia
186;Lbir Jdid
187;Loualidia
188;Loulad
189;Lqliaa
190;M'Diq
191;Moulay Driss Zerhoun
192;Maaziz
193;Madagh
194;Marrakech
195;Martil
196;Massa
197;Matmata
198;Médiouna
199;Mechra Bel Ksiri
200;Mehdya
201;Meknès
202;M'Haya
203;Midar
204;Midelt
205;Missour
206;Mohammédia
207;Moqrisset
208;Moulay Abdallah
210;Moulay Bouazza
211;Moulay Bousselham
212;Moulay Brahim
213;M'Rirt
214;Nador
215;Naïma
216;Nouaceur
217;Ouarzazate
218;Oulmès
219;Oualidia
220;Ouaouizeght
221;Oued Amlil
222;Oued Heïmer
223;Oued Laou
224;Oued Zem
225;Ouezzane
226;Ouislane
227;Oujda
228;Oulad Abbou
229;Oulad Amrane
230;Oulad Ayad
231;Oulad Berhil
232;Oulad Frej
233;Oulad Ghadbane
234;Oulad H'Riz Sahel
235;Oulad M'Barek
236;Oulad Mrah
237;Oulad Saïd
238;Oulad Tayeb
239;Oulad Teïma
240;Oulad Yaïch
241;Oulad Zbaïr
242;Oum El Guerdane
243;Ounagha
244;Outat El Haj
245;Rabat
246;Ras El Aïn
247;Ras El Ma
248;Ribate El Kheïr
249;Rissani
250;Rommani
251;Sabaa Aiyoun
252;Safi
253;Saïdia
254;Salé
255;Sebt El Guerdane
256;Sebt El Maarif
257;Sebt Gzoula
258;Sebt Jahjouh
259;Sefrou
260;Selouane
261;Semara
262;Settat
263;Sid L'Mokhtar
264;Sid Zouin
265;Sidi Abdallah Ghiat
266;Sidi Addi
267;Sidi Ahmed
268;Sidi Ali Ban Hamdouche
269;Sidi Allal El Bahraoui
270;Sidi Allal Tazi
271;Sidi Bennour
272;Sidi Bou Othmane
273;Sidi Boubker
274;Sidi Bouknadel
275;Sidi Bouzid
276;Sidi Kacem
277;Sidi Hajjaj Oulad Mrah
278;Sidi Ifni
279;Sidi Jaber
280;Sidi Lyamani
281;Sidi Rahhal
282;Sidi Rahhal Chataï
283;Sidi Slimane
284;Sidi Slimane Echcharraa
285;Sidi Smaïl
286;Sidi Taïbi
287;Sidi Yahya El Gharb
288;Skhirate
289;Skhour Rehamna
290;Skoura
291;Smimou
292;Soualem
293;Souk El Arbaâ
294;Souk Sebt Oulad Nemma
295;Tabounte
296;Tafetachte
297;Tafraout
298;Tafrisset
299;Taghjijt
300;Tahannaout
301;Tahla
302;Taïnaste
303;Talmest
304;Taliouine
305;Talsint
306;Tamallalt
307;Tamanar
308;Tamassint
309;Tamegroute
310;Tameslouht
311;Tanger
312;Tan-Tan
313;Taounate
314;Tarfaya
315;Targuist
316;Taourirt
317;Taroudant
318;Tata
319;Taza
320;Taznakht
321;Témara
322;Temsia
323;Tendrara
324;Tétouan
325;Thar Es Souk
326;Tidass
327;Tiflet
328;Tighassaline
329;Tighza
330;Timahdite
331;Tinejdad
332;Tinghir
333;Tissa
334;Tit Mellil
335;Tizi Ouasli
336;Tiznit
337;Tiztoutine
338;Touima
339;Touissit
340;Toulal
341;Tounfite
342;Youssoufia
343;Zag
344;Zagora
345;Zaïda
346;Zaïo
347;Zaouïat Bougrine
348;Zaouïat Cheikh
349;Zeghanghane
350;Zemamra
351;Zirara
352;Zoumi
353;Zrarda
354;Zrenren
